AttendanceID,AttendanceDate,CheckInTime,CheckOutTime,MemberID
19,2023-08-04,2023-08-04 07:30:00 AM,2023-08-04 09:30:00 AM,1
20,2023-08-05,2023-08-05 07:30:00 AM,2023-08-05 09:30:00 AM,1
21,2023-08-06,2023-08-06 07:30:00 AM,2023-08-06 09:30:00 AM,1
22,2023-08-07,2023-08-07 07:30:00 AM,2023-08-07 09:30:00 AM,1
23,2023-08-08,2023-08-08 07:30:00 AM,2023-08-08 09:30:00 AM,1
24,2023-08-09,2023-08-09 07:30:00 AM,2023-08-09 09:30:00 AM,1
25,2023-08-10,2023-08-10 07:30:00 AM,2023-08-10 09:30:00 AM,1
26,2023-08-11,2023-08-11 07:30:00 AM,2023-08-11 09:30:00 AM,1
27,2023-08-12,2023-08-12 07:30:00 AM,2023-08-12 09:30:00 AM,1
28,2023-08-13,2023-08-13 07:30:00 AM,2023-08-13 09:30:00 AM,1
29,2023-08-14,2023-08-14 07:30:00 AM,2023-08-14 09:30:00 AM,1
30,2023-08-15,2023-08-15 07:30:00 AM,2023-08-15 09:30:00 AM,1
31,2023-08-16,2023-08-16 07:30:00 AM,2023-08-16 09:30:00 AM,1
32,2023-08-17,2023-08-17 07:30:00 AM,2023-08-17 09:30:00 AM,1
33,2023-08-18,2023-08-18 07:30:00 AM,2023-08-18 09:30:00 AM,1
34,2023-08-19,2023-08-19 07:30:00 AM,2023-08-19 09:30:00 AM,1
35,2023-08-20,2023-08-20 07:30:00 AM,2023-08-20 09:30:00 AM,1
36,2023-08-21,2023-08-21 07:30:00 AM,2023-08-21 09:30:00 AM,1
37,2023-08-22,2023-08-22 07:30:00 AM,2023-08-22 09:30:00 AM,1
38,2023-08-23,2023-08-23 07:30:00 AM,2023-08-23 09:30:00 AM,1
39,2023-08-24,2023-08-24 07:30:00 AM,2023-08-24 09:30:00 AM,1
40,2023-08-25,2023-08-25 07:30:00 AM,2023-08-25 09:30:00 AM,1
41,2023-08-26,2023-08-26 07:30:00 AM,2023-08-26 09:30:00 AM,1
42,2023-08-27,2023-08-27 07:30:00 AM,2023-08-27 09:30:00 AM,1
